"palabra","significado","ejemplo"
"lancha","individuo vivo, audaz, perspicaz para los negocios","juan es una lancha"
"lapo","trago de licor",""
"las viejas","las prostitutas","ir donde las viejas"
"lavaplatos","fregadero donde se lavan los platos y otros utensilios domésticos",""
"lechero","dicho de un vehículo, que hace paradas muy frecuentes",""
"lechero","dicho de una persona, tacaña",""
"lechería","finca, especialmente destinada al ordeño de vacas",""
"lengua","persona dada a las murmuraciones y chismes","esa señora es una lengua terrible"
"lenguarada","expresión ininteligible por defectuosa vocalización",""
"lengüisucio","que emplea expresiones malsonantes",""
"lengüisuelto","indiscreto, chismoso",""
"ley","policía. ¡cuidado que viene la ley",""
"leído","dicho de los escritos de un autor, que son leídos por mucha gente","garcía márquez es muy leído en latinoamérica"
"leñatero","el que tiene por oficio buscar leña para venderla",""
"liso","escurridizo","el novio resultó muy liso"
"liso","audaz, desvergonzado",""
"lisura","desfachatez, desvergüenza",""
"lisura","expresión procaz",""
"liudar","fermentar la masa con la levadura",""
"llanta","abultamiento adiposo que se forma en el vientre de las personas, a la altura de las costillas inferiores","a mi tía ya se le nota la llanta"
"llevado","a . dicho de una persona, que está en mala situación económica",""
"llevar de diestro","llevar de cabestro a una bestia",""
"llorona","en las creencias populares de algunas regiones del país, personaje que es un espanto nocturno con apariencia de mujer",""
"llorona","borrachera con llanto","le dio la llorona"
"lloviznarse","mojarse por efecto de la llovizna",""
"lobería","acción de mal gusto",""
"lobo","dicho de una persona o cosa, de mal gusto, horrible ¡qué casa tan loba",""
"loca","homosexual","juan es una loca"
"locato","dicho de una persona, alocada, de poco juicio",""
"locha","pereza","a pedro le gusta echar su locha"
"locho","dicho de una persona, que tiene el cabello rubio",""
"locho","dicho de una persona, vaga, perezosa",""
"locro","sopa de papas",""
"lonche","agasajo infantil, generalmente para celebrar un cumpleaños",""
"lonchera","caja en la cual los niños llevan alimentos para consumirlos en la escuela o en el colegio",""
"lonchería","restaurante donde se consumen comidas ligeras",""
"loquera","locura. ¡correr por el cura! –vocifera mazuera– pero ligero, que la fiebre poética le ha dado con loquera",""
"loquina","loquera",""
"lora","llaga, úlcera",""
"luca","billete de mil pesos",""
"lunarejo","dicho de una persona, que tiene muchos lunares, y de ciertos animales que tienen muchas manchas","hombre lunarejo. vaca lunareja"
"lungo","falto de destreza, torpe",""
"lungo","jornal",""
"lungo","jornalero",""
"lupias","dinero en poca cantidad","me gané unas lupias"
"lustrabotas","persona cuyo oficio es limpiar y lustrar el calzado",""
"líchigo","tacaño, mezquino",""
"líchigo","verduras vendidas al menudeo",""
"machera","persona o cosa excelente, extraordinaria","una machera de finca. ¡qué machera de película"
"machete","trozo de papel con datos que lleva escondido un estudiante a los exámenes",""
"machete estate en tu vaina","expresión que advierte que en algunos casos uno debe abstenerse de obrar por temor de riesgos que se presienten",""
"machiro","dicho de una persona o animal, receloso, mañoso, resabiado","un caballo machiro"
"macho","extraordinario, muy grande","qué espectáculo tan macho"
"machona","mujer de aspecto y comportamiento hombruno",""
"machorra","marimacho, mujer corpulenta con ademanes o acciones hombrunas",""
"machorra","lesbiana, mujer homosexual",""
"machucante","amante",""
"machucante","novio","preséntanos tu machucante"
"machucarse","sufrir una contusión una parte del cuerpo al quedar atrapado entre dos superficies","me machuqué el dedo con la puerta del carro"
"machucón","golpe producido por el aprisionamiento de una parte del cuerpo entre dos supuerficies","se me cayó la uña del machucón"
"macoca","machete corto y gastado",""
"macondo","árbol corpulento semejante a la ceiba",""
"madrazo","ofensa dirigida a alguien calificándolo de malnacido o hijo de puta",""
"madrear","mentar la madre para insultar",""
"madremonte","en la creencias populares, espanto o fantasma en forma de mujer","aquí, la madremonte, musgosa y putrefacta, que, al bañarse en las cabeceras de los ríos, envenena sus aguas y ocasiona calenturas y tuntún, llagas y carate, ronchas y enconos"
"madrina","res o manada mansa que sirve de guía para conducir ganado bravío",""
"madrino","caballo que sirve de guía a otras bestias",""
"mafafa","planta de tubérculo comestible",""
"mafafa","planta de grandes hojas y tubérculos comestibles",""
"maganza","pachorra, ociosidad",""
"maganzón","holgazán",""
"maguey","fique, planta cuya fibra es utilizada en la industria textil","allá'rriba viene el diablo/con una cruz de magué/pa'decir a las mujeres/que apuren con el cajé"
"magué","fique, planta cuya fibra es utilizada en la industria textil","allá'rriba viene el diablo/con una cruz de magué/pa'decir a las mujeres/que apuren con el cajé"
"maicera","pequeño sembrado de maíz",""
"mal de estómago","diarrea",""
"malacrianza","falta de urbanidad, grosería",""
"malamaña","predisposición al robo",""
"malamañoso","que tiene malas costumbres, sobre todo la de hurtar",""
"malandro","delincuente",""
"malanga","planta de grandes hojas y tubérculos comestibles",""
"malangay","planta de grandes hojas y tubérculos comestibles",""
"malaya","expresa un deseo vehemente en relación con algo alcanzado o difícil de alcanzar",""
"maletero","persona que tiene por oficio llevar las maletas en un aeropuerto",""
"maletón","jorobado, corcovado",""
"malgeniado","dicho de una persona, de mal humor, cascarrabias",""
"malhaya","expresa un deseo vehemente en relación con algo alcanzado o difícil de alcanzar",""
"maluco","dicho de una cosa, desagradable al gusto o al olfato","qué comida tan maluca"
"maluco","indispuesto, enfermo",""
"maluquearse","sentir malestar o una enfermedad leve y pasajera",""
"mamadera de gallo","tomar del pelo",""
"mamado","cansado, fatigado","después de trabajar todo el día llegaba mamado a la casa"
"mamado","aburrido, cansado de algo","está mamado de que lo regañen a toda hora"
"mamado","embriagado",""
"mamar gallo","no cumplir con lo prometido a alguien","me está mamando gallo con el pago del arriendo"
"mamar gallo","burlarse solapadamente de alguien",""
"mamar gallo","estar ocioso, sin incumplir mañosamente con sus obligaciones o tareas","lo echaron del puesto por que se la pasaba mamando gallo"
"mamarse","cansarse, fatigarse",""
"mamarse","perder la paciencia a causa de algo",""
"mamasanta","prostituta clandestina que hace ostentación pública de virtudes",""
"mamera","cosa o situación que causa desagrado, aburrimiento","qué mamera de película"
"mamey","dicho de una actividad, fácil de hacer","la tarea está mamey"
"mamona","ternera no destetada",""
"mamona","carne de ternera cortada en trozos que se asa en una varilla al aire libre",""
"mamón","dicho de una cosa o situación, que es aburrida","qué fiesta tan mamona"
"mamón","dicho de una persona, que hace perder la paciencia","mi hermano se puso muy mamón"
"mana","manadero, manantial","lo qu'hemos de hacer es buscale al niño un compañerito, pa que s'entretenga con él y jueguen ai en el platanal y en la manguita de la mana"
"mancorna","gemelo del puño de la camisa",""
"mancorna","amigo que acompaña muy frecuentemente a una persona",""
"mandado","encargo de comprar algo que se le hace a alguien","salió a la tienda a"
"mandar","lanzar con fuerza","le mandó un puñetazo que casi lo mata"
"mandar","usar, utilizar","se manda un vocabulario horrible"
"mandarria","fuerza, vigor, prepotencia",""
"mandarriazo","golpe fuerte que da una persona a otra",""
"manducazo","golpe en general",""
"manducazo","golpe dado con el manduco",""
"manduco","palo con que se golpea la ropa cuando se lava",""
"manfifio","equivocado o confuso","quedó manfifio con tanto chisme"
"manga","potrero o terreno pequeño",""
"manga","puño, brazo fuerte","ese sujeto tiene buena manga"
"mangazo","puñetazo",""
"mango","persona atractiva y bien parecida",""
"mango","varilla que se usa para tejer",""
"mango","corazón","le está fallando el mango"
"mangonear","ejercer dominio o poder sobre la gente aprovechando alguna posición de ventaja como la fuerza física, el dinero","el hermano mayor mangonea a los pequeños"
"manguala","confabulación para fines ilícitos",""
"manicagado","zurdo",""
"manicurista","persona cuyo oficio es arreglar las uñas de las manos",""
"manjar blanco","arequipe, dulce de leche",""
"mano","voz abreviada de","hermano"
"mano de plátano","cada uno de los grupos o gajos de plátano en que se divide un racimo",""
"manosear","ejercer acciones que afectan el prestigio o la imagen de una persona","se molestó porque pensó que lo estaban manoseando"
"manoseo","maltrato moral que se da a alguien",""
"manteca","cocinera, empleada doméstica",""
"manteco","dicho de una persona, mal vestido",""
"manteco","persona de baja condición social",""
"manzanillo","dicho de un político, intrigante",""
"maquetas","dicho especialmente de un estudiante, desaplicado, dado a perder el tiempo","resultó un maquetas"
"maquila","porción de miel, panela, sagú, o cantidad de dinero que se da al dueño de un trapiche o molino como retribución por la molienda",""
"maracachafa","marihuana",""
"maranguango","hechizo, brebaje para causar maleficios","por la calle andan diciendo/que las mujeres componen/los jartan de maranguango/pa burlarse de los hombres"
"marimonda","pelea, riña","se armó la marimonda"
"marimonda","nombre de varias especies de monos pequeños, de larga cola, prensil",""
"marimonda","borrachera",""
"marramucia","engaño, ardid, treta","no venga usted con marramucias para que firme el contrato"
"marramuncia","engaño, ardid, treta","no venga usted con marramucias para que firme el contrato"
"marranear","hacer o decir tonterías",""
"marranear","estafar, engañar",""
"marrano","ingenuo, tonto",""
"martingala","correa que forma parte del apero de un caballo",""
"marullo","multitud de personas o de animales",""
"masato","bebida fermentada a base de maíz o arroz",""
"masato de maíz pelado","el de maíz hervido, puesto en reposo durante algún tiempo, luego lavado con ceniza para quitarle el hollejo y, finalmente, molido",""
"masato de maíz tostado","el de maíz tostado, molido y cernido",""
"masato de piste","el de maíz triturado y macerado durante dos o más días",""
"mataburro","ron o aguardiente de muy baja calidad",""
"mataburro","accesorio fuerte, de hierro, que se pone en los vehículos, especialmente en los todo terreno, para protegerlos de un golpe",""
"matado","fascinado o encantado con algo","está matada con su nuevo computador"
"matera","recipiente de barro cocido empleado para sembrar plantas",""
"material","ladrillo","casa de material"
"matiné","función de cine o teatro que se efectúa hacia la media tarde","la invité a matiné"
"maturranga","treta o engaño","no me venga con maturrangas"
"matón","maleza que se encuentra de trecho en trecho en campos no cultivados",""
"mazamorra","mescolanza, revoltillo de cosas o ideas",""
"mazamorra","sopa de maíz con algunas legumbres como arvejas, habas y repollo, y con trocitos de carne de res",""
"mazamorra","ulceración de los pies causada por la penetración de larvas del anquilostoma duodenal",""
"mazamorra","alimento hecho con maíz de granos enteros, y otros triturados o cascados, cocidos en agua con un poco de lejía de ceniza",""
"mazamorra","ulceración de las pezuñas del ganado vacuno, causada por infección microbiana",""
"mazamorra de dulce","la de harina de maíz con panela y algunas especias o cunchos de chicha",""
"mazamorra de harina","la de maíz reducido a polvo y cernido para separarlo de la hunche o afrecho",""
"mazamorra de leche","la de harina con leche y dulce",""
"mazamorra de maíz pelado","la de maíz hervido, puesto en reposo durante algún tiempo, luego lavado con ceniza para quitarle el hollejo y, finalmente, molido",""
